id;nombre_municipio;provincia_id
1;BARACOA;1
2;CAIMANERA;1
3;EL SALVADOR;1
4;GUANTANAMO;1
5;IMIAS;1
6;MAISI;1
7;MANUEL TAMES;1
8;NICETO PEREZ;1
9;SAN ANTONIO DEL SUR;1
10;YATERAS;1
11;CONTRAMAESTRE;2
12;GUAMA;2
13;MELLA;2
14;PALMA SORIANO;2
15;SAN LUIS;2
16;SANTIAGO DE CUBA;2
17;SEGUNDO FRENTE;2
18;SONGO-LA MAYA;2
19;TERCER FRENTE;2
20;BARTOLOME MASO;3
21;BAYAMO;3
22;BUEY ARRIBA;3
23;CAMPECHUELA;3
24;CAUTO CRISTO;3
25;GUISA;3
26;JIGUANI;3
27;MANZANILLO;3
28;MEDIA LUNA;3
29;NIQUERO;3
30;PILON;3
31;RIO CAUTO;3
32;YARA;3
33;ANTILLA;4
34;BAGUANOS;4
35;BANES;4
36;CACOCUM;4
37;CALIXTO GARCIA;4
38;CUETO;4
39;FRANK PAIS;4
40;GIBARA;4
41;HOLGUÍN;4
42;MAYARI;4
43;MOA;4
44;RAFAEL FREYRE;4
45;SAGUA DE TANAMO;4
46;URBANO NORIS;4
47;MANATI;5
48;PUERTO PADRE;5
49;JESUS MENENDEZ;5
50;MAJIBACOA;5
51;LAS TUNAS;5
52;JOBABO;5
53;COLOMBIA;5
54;AMANCIO;5
55;CAMAGUEY;6
56;GUAIMARO;6
57;NUEVITAS;6
58;CESPEDES;6
59;JIMAGUAYU;6
60;SIBANICU;6
61;ESMERALDA;6
62;MINAS;6
63;SIERRA DE CUBITAS;6
64;FLORIDA;6
65;NAJASA;6
66;VERTIENTES;6
67;SANTA CRUZ DEL SUR;6
68;CIEGO DE AVILA;7
69;MORON;7
70;CHAMBAS;7
71;CIRO REDONDO;7
72;MAJAGUA;7
73;FLORENCIA;7
74;VENEZUELA;7
75;BARAGUA;7
76;PRIMERO DE ENERO;7
77;BOLIVIA;7
78;SANCTI SPIRITUS;8
79;TRINIDAD;8
80;CABAIGUAN;8
81;YAGUAJAY;8
82;JATIBONICO;8
83;TAGUASCO;8
84;FOMENTO;8
85;LA SIERPE;8
86;CAIBARIEN;9
87;CAMAJUANI;9
88;CIFUENTES;9
89;CORRALILLO;9
90;ENCRUCIJADA;9
91;MANICARAGUA;9
92;PLACETAS;9
93;QUEMADO DE GUINES;9
94;RANCHUELO;9
95;REMEDIOS;9
96;SAGUA LA GRANDE;9
97;SANTA CLARA;9
98;SANTO DOMINGO;9
99;ABREUS;10
100;AGUADA DE PASAJEROS;10
101;CIENFUEGOS;10
102;CRUCES;10
103;CUMANAYAGUA;10
104;LAJAS;10
105;PALMIRA;10
106;RODAS;10
107;CALIMETE;11
108;CARDENAS;11
109;CIENAGA DE ZAPATA;11
110;COLON;11
111;JAGUEY GRANDE;11
112;JOVELLANOS;11
113;LIMONAR;11
114;LOS ARABOS;11
115;MARTI;11
116;MATANZAS;11
117;PEDRO BETANCOURT;11
118;PERICO;11
119;UNION DE REYES;11
120;BEJUCAL;12
121;SAN JOSE DE LAS LAJAS;12
122;JARUCO;12
123;SANTA CRUZ DEL NORTE;12
124;MADRUGA;12
125;NUEVA PAZ;12
126;SAN NICOLAS DE BARI;12
127;GUINES;12
128;MELENA DEL SUR;12
129;BATABANO;12
130;QUIVICAN;12
131;MARIEL;13
132;GUANAJAY;13
133;CAIMITO;13
134;BAUTA;13
135;SAN ANTONIO DE LOS BAÑOS;13
136;GUIRA DE MELENA;13
137;ALQUIZAR;13
138;ARTEMISA;13
139;BAHIA HONDA;13
140;CANDELARIA;13
141;SAN CRISTOBAL;13
142;ARROYO NARANJO;14
143;BOYEROS;14
144;CENTRO HABANA;14
145;CERRO;14
146;COTORRO;14
147;DIEZ DE OCTUBRE;14
148;GUANABACOA;14
149;LA HABANA DEL ESTE;14
150;LA HABANA VIEJA;14
151;LA LISA;14
152;MARIANAO;14
153;PLAYA;14
154;PLAZA DE LA REVOLUCION;14
155;REGLA;14
156;SAN MIGUEL DEL PADRON;14
157;CONSOLACION DEL SUR;15
158;GUANE;15
159;LA PALMA;15
160;LOS PALACIOS;15
161;MANTUA;15
162;MINAS DE MATAHAMBRE;15
163;PINAR DEL RIO;15
164;SAN JUAN Y MARTINEZ;15
165;SAN LUIS;15
166;ISLA DE LA JUVENTUD;16
